web_scraper_order,web_scraper_start_url,pagination,book link,title,rating,price,stock,category,UPC,rating_word,rating_num,cluster,Genre,Genre_label
1771418862-11,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/bright-lines_11/index.html,Bright Lines,star-rating Five,39.07,In stock (1 available),Fiction,230ac636ea0ea415,Five,5,3,Cluster_3,3
1771418865-12,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/charitys-cross-charles-towne-belles-4_12/index.html,Charity's Cross (Charles Towne Belles #4),star-rating One,41.24,In stock (1 available),Romance,a96404cb928895f3,One,1,0,Cluster_0,0
1771418867-13,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/charlie-and-the-chocolate-factory-charlie-bucket-1_13/index.html,Charlie and the Chocolate Factory (Charlie Bucket #1),star-rating Three,22.85,In stock (1 available),Childrens,1774749f2cee292f,Three,3,1,Cluster_1,1
1771418869-14,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html,Choosing Our Religion: The Spiritual Lives of America's Nones,star-rating Four,28.42,In stock (1 available),Religion,a812f6969ddf3e39,Four,4,1,Cluster_1,1
1771418871-15,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/deep-under-walker-security-1_15/index.html,Deep Under (Walker Security #1),star-rating Five,47.09,In stock (1 available),Romance,0072b94dfa30608e,Five,5,3,Cluster_3,3
1771418873-16,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/eat-pray-love_16/index.html,"Eat, Pray, Love",star-rating Three,51.32,In stock (1 available),Nonfiction,df56868afd166557,Three,3,3,Cluster_3,3
1771418875-17,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/emma_17/index.html,Emma,star-rating Two,32.93,In stock (1 available),Classics,2e69730561ed70ad,Two,2,2,Cluster_2,2
1771418878-18,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/fighting-fate-fighting-6_18/index.html,Fighting Fate (Fighting #6),star-rating Three,39.24,In stock (1 available),Romance,6390772a3094939d,Three,3,3,Cluster_3,3
1771418880-19,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/forever-rockers-the-rocker-12_19/index.html,Forever Rockers (The Rocker #12),star-rating Three,28.8,In stock (1 available),Music,e564c3f1a93ccf2e,Three,3,1,Cluster_1,1
1771418882-20,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-50.html,https://books.toscrape.com/catalogue/frankenstein_20/index.html,Frankenstein,star-rating Two,38.0,In stock (1 available),Default,a492f49a3e2b6a71,Two,2,0,Cluster_0,0
1771418884-21,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html,"Fruits Basket, Vol. 1 (Fruits Basket #1)",star-rating Five,40.28,In stock (1 available),Sequential Art,72e6fbf4f6382557,Five,5,3,Cluster_3,3
1771418886-22,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html,"Giant Days, Vol. 1 (Giant Days #1-4)",star-rating Four,56.76,In stock (1 available),Sequential Art,eb0fe24bbc845ecc,Four,4,3,Cluster_3,3
1771418889-23,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),star-rating Four,34.96,In stock (1 available),Science Fiction,6717a70913b3db79,Four,4,3,Cluster_3,3
1771418891-24,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",star-rating Three,45.24,In stock (1 available),Sequential Art,6fe02600f322a0a9,Three,3,3,Cluster_3,3
1771418893-25,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/icing-aces-hockey-2_25/index.html,Icing (Aces Hockey #2),star-rating Four,40.44,In stock (1 available),Sports and Games,3455b45888fb5053,Four,4,3,Cluster_3,3
1771418895-26,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/imperfect-harmony_26/index.html,Imperfect Harmony,star-rating Four,34.74,In stock (1 available),Romance,f28f7299d38c0932,Four,4,3,Cluster_3,3
1771418897-27,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/jane-eyre_27/index.html,Jane Eyre,star-rating Five,38.43,In stock (1 available),Default,8d390a1fc3133d06,Five,5,3,Cluster_3,3
1771418900-28,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/kitchens-of-the-great-midwest_28/index.html,Kitchens of the Great Midwest,star-rating Five,57.2,In stock (1 available),Fiction,06f6a57a6d532844,Five,5,3,Cluster_3,3
1771418902-29,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/listen-to-me-fusion-1_29/index.html,Listen to Me (Fusion #1),star-rating Three,58.99,In stock (1 available),Romance,6e712ea24e77bd96,Three,3,3,Cluster_3,3
1771418904-30,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/lord-of-the-flies_30/index.html,Lord of the Flies,star-rating Three,24.89,In stock (1 available),Add a comment,71a6471bbdac21d9,Three,3,1,Cluster_1,1
1771418906-31,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,Lost Among the Living,star-rating Four,27.7,In stock (1 available),Historical Fiction,d510567580c8be52,Four,4,1,Cluster_1,1
1771418908-32,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/matilda_32/index.html,Matilda,star-rating One,28.34,In stock (1 available),Childrens,1053fb7ee17a1f33,One,1,2,Cluster_2,2
1771418911-33,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/meditations_33/index.html,Meditations,star-rating Two,25.89,In stock (1 available),Philosophy,4f19709e47883df5,Two,2,2,Cluster_2,2
1771418913-34,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",star-rating Four,39.39,In stock (1 available),Sequential Art,35a60467893aa168,Four,4,3,Cluster_3,3
1771418915-35,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/my-perfect-mistake-over-the-top-1_35/index.html,My Perfect Mistake (Over the Top #1),star-rating Two,38.92,In stock (1 available),Romance,fd78f89878479f56,Two,2,0,Cluster_0,0
1771418917-36,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/myriad-prentor-1_36/index.html,Myriad (Prentor #1),star-rating Four,58.75,In stock (1 available),Fantasy,63e20a0f98218a87,Four,4,3,Cluster_3,3
1771418919-37,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html,Of Mice and Men,star-rating Two,47.11,In stock (1 available),Classics,39592d9d72e717c4,Two,2,0,Cluster_0,0
1771418922-38,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/off-sides-off-1_38/index.html,Off Sides (Off #1),star-rating Five,39.45,In stock (1 available),New Adult,b6f1cfadc4dd79d4,Five,5,3,Cluster_3,3
1771418924-39,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/old-records-never-die-one-mans-quest-for-his-vinyl-and-his-past_39/index.html,Old Records Never Die: One Man's Quest for His Vinyl and His Past,star-rating Two,55.66,In stock (1 available),Music,a1985630339f4b3d,Two,2,0,Cluster_0,0
1771418926-40,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-49.html,https://books.toscrape.com/catalogue/on-the-road-duluoz-legend_40/index.html,On the Road (Duluoz Legend),star-rating Three,32.36,In stock (1 available),Default,9ff997ab15713e53,Three,3,1,Cluster_1,1
1771418928-41,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/one-second-seven-7_41/index.html,One Second (Seven #7),star-rating Two,52.94,In stock (1 available),Fantasy,7ea31f38675b91c1,Two,2,0,Cluster_0,0
1771418930-42,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/origins-alphas-05_42/index.html,Origins (Alphas 0.5),star-rating One,28.99,In stock (1 available),Fantasy,8932e5c12f12ffed,One,1,2,Cluster_2,2
1771418932-43,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",star-rating Three,29.87,In stock (1 available),Sequential Art,326825e02a198cf6,Three,3,1,Cluster_1,1
1771418935-44,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html,"Paper Girls, Vol. 1 (Paper Girls #1-5)",star-rating Four,21.71,In stock (1 available),Sequential Art,bcbcbcf0f6ed196f,Four,4,1,Cluster_1,1
1771418937-45,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/paradise-lost-paradise-1_45/index.html,Paradise Lost (Paradise #1),star-rating One,24.96,In stock (1 available),Default,849db7ab7f4a640c,One,1,2,Cluster_2,2
1771418939-46,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",star-rating Five,46.96,In stock (1 available),Sequential Art,3cdca3b4a93980f5,Five,5,3,Cluster_3,3
1771418941-47,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/rhythm-chord-malykhin_47/index.html,"Rhythm, Chord & Malykhin",star-rating Two,28.34,In stock (1 available),Romance,9efb397067eb7e8a,Two,2,2,Cluster_2,2
1771418943-48,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html,"Saga, Volume 1 (Saga (Collected Editions) #1)",star-rating One,28.48,In stock (1 available),Sequential Art,4f64568dfefa3ce7,One,1,2,Cluster_2,2
1771418946-49,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,Sense and Sensibility,star-rating One,37.46,In stock (1 available),Classics,35e44170702139a4,One,1,0,Cluster_0,0
1771418948-50,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/settling-the-score-the-summer-games-1_50/index.html,Settling the Score (The Summer Games #1),star-rating Two,44.91,In stock (1 available),Sports and Games,132adf7335bb384a,Two,2,0,Cluster_0,0
1771418950-51,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/shadow-rites-jane-yellowrock-10_51/index.html,Shadow Rites (Jane Yellowrock #10),star-rating Four,21.72,In stock (1 available),Fantasy,229cd6564bf0dce4,Four,4,1,Cluster_1,1
1771418952-52,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/shameless_52/index.html,Shameless,star-rating Three,58.35,In stock (1 available),New Adult,c068c013d6921fea,Three,3,3,Cluster_3,3
1771418954-53,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/shatter-me-shatter-me-1_53/index.html,Shatter Me (Shatter Me #1),star-rating One,42.4,In stock (1 available),Default,9ed7090d8fa690b0,One,1,0,Cluster_0,0
1771418957-54,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/sister-sable-the-mad-queen-1_54/index.html,Sister Sable (The Mad Queen #1),star-rating Three,13.33,In stock (1 available),Fantasy,3a9a7c5895e82646,Three,3,1,Cluster_1,1
1771418959-55,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html,"Skip Beat!, Vol. 01 (Skip Beat! #1)",star-rating Three,42.12,In stock (1 available),Sequential Art,2ac720f76384c57e,Three,3,3,Cluster_3,3
1771418961-56,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/starlark_56/index.html,Starlark,star-rating Three,25.83,In stock (1 available),Historical Fiction,e25164e5b3fe208b,Three,3,1,Cluster_1,1
1771418963-57,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/taking-shots-assassins-1_57/index.html,Taking Shots (Assassins #1),star-rating Two,18.88,In stock (1 available),Default,a7eef9d6795422c1,Two,2,2,Cluster_2,2
1771418965-58,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/the-art-of-not-breathing_58/index.html,The Art of Not Breathing,star-rating Four,40.83,In stock (1 available),Young Adult,5bc1fbccfbf2355c,Four,4,3,Cluster_3,3
1771418967-59,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/the-bette-davis-club_59/index.html,The Bette Davis Club,star-rating Three,30.66,In stock (1 available),Fiction,dfb0849016bc122c,Three,3,1,Cluster_1,1
1771418970-60,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-48.html,https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html,The Bhagavad Gita,star-rating Three,57.49,In stock (1 available),Religion,f3a0b8c835129558,Three,3,3,Cluster_3,3
1771418972-61,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-communist-manifesto_61/index.html,The Communist Manifesto,star-rating Three,14.76,In stock (1 available),Add a comment,18b4545a5ed15581,Three,3,1,Cluster_1,1
1771418974-62,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html,The Complete Maus (Maus #1-2),star-rating Three,10.64,In stock (1 available),Sequential Art,3301af038a720587,Three,3,1,Cluster_1,1
1771418976-63,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html,The Edge of Reason (Bridget Jones #2),star-rating Four,19.18,In stock (1 available),Womens Fiction,29fc016c459aeb14,Four,4,1,Cluster_1,1
1771418978-64,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-end-of-the-jesus-era-an-investigation-1_64/index.html,The End of the Jesus Era (An Investigation #1),star-rating One,14.4,In stock (1 available),Nonfiction,09659d1639a1f978,One,1,2,Cluster_2,2
1771418981-65,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,The Girl In The Ice (DCI Erika Foster #1),star-rating Three,15.85,In stock (1 available),Mystery,ee61197edb882599,Three,3,1,Cluster_1,1
1771418983-66,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,The Girl You Lost,star-rating Five,12.29,In stock (1 available),Mystery,4280ac3eab57aa5d,Five,5,1,Cluster_1,1
1771418985-67,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-haters_67/index.html,The Haters,star-rating Five,27.89,In stock (1 available),Young Adult,fff8a057a40c4a60,Five,5,1,Cluster_1,1
1771418987-68,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-hook-up-game-on-1_68/index.html,The Hook Up (Game On #1),star-rating Five,36.29,In stock (1 available),New Adult,6e473eff459e809f,Five,5,3,Cluster_3,3
1771418989-69,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-iliad_69/index.html,The Iliad,star-rating One,16.16,In stock (1 available),Add a comment,86d8bd7afa5b51b3,One,1,2,Cluster_2,2
1771418992-70,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-last-girl-the-dominion-trilogy-1_70/index.html,The Last Girl (The Dominion Trilogy #1),star-rating Two,36.26,In stock (1 available),Science Fiction,16c71736dae78764,Two,2,0,Cluster_0,0
1771418994-71,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-light-of-the-fireflies_71/index.html,The Light of the Fireflies,star-rating One,54.43,In stock (1 available),Add a comment,04e43893e32f9d29,One,1,0,Cluster_0,0
1771418996-72,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-little-prince_72/index.html,The Little Prince,star-rating Two,45.42,In stock (1 available),Classics,1aeca7d078d57deb,Two,2,0,Cluster_0,0
1771418998-73,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-mirror-the-maze-the-wrath-and-the-dawn-15_73/index.html,The Mirror & the Maze (The Wrath and the Dawn #1.5),star-rating One,29.38,In stock (1 available),Fantasy,c40b70e0f6d80189,One,1,2,Cluster_2,2
1771419001-74,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-name-of-the-wind-the-kingkiller-chronicle-1_74/index.html,The Name of the Wind (The Kingkiller Chronicle #1),star-rating Three,50.59,In stock (1 available),Default,c8614adb1a90b027,Three,3,3,Cluster_3,3
1771419003-75,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html,The Nicomachean Ethics,star-rating One,36.34,In stock (1 available),Philosophy,5c10b64db3e4f228,One,1,0,Cluster_0,0
1771419005-76,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),star-rating Four,57.7,In stock (1 available),Mystery,b0913e67d38d5ed5,Four,4,3,Cluster_3,3
1771419007-77,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-odyssey_77/index.html,The Odyssey,star-rating Three,29.64,In stock (1 available),Add a comment,f0512adadffd2480,Three,3,1,Cluster_1,1
1771419009-78,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-republic_78/index.html,The Republic,star-rating Three,33.78,In stock (1 available),Add a comment,0ec9d2b018fb10d8,Three,3,1,Cluster_1,1
1771419012-79,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",star-rating Three,54.12,In stock (1 available),Sequential Art,5faefdc861684eb1,Three,3,3,Cluster_3,3
1771419014-80,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-47.html,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,The Secret Healer,star-rating Three,34.56,In stock (1 available),Historical Fiction,38f776ab9118aed7,Three,3,1,Cluster_1,1
1771419016-81,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-46.html,https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html,The Selfish Gene,star-rating One,29.45,In stock (1 available),Science,6f2c0a9adbb2bca9,One,1,2,Cluster_2,2
1771419018-82,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-46.html,https://books.toscrape.com/catalogue/the-silent-twin-detective-jennifer-knight-3_82/index.html,The Silent Twin (Detective Jennifer Knight #3),star-rating Three,36.25,In stock (1 available),Fantasy,9e9932ae1a7d0943,Three,3,3,Cluster_3,3
1771419020-83,https://books.toscrape.com/catalogue/category/books_1/index.html,https://books.toscrape.com/catalogue/category/books_1/page-46.html,https://books.toscrape.com/catalogue/the-silent-wife_83/index.html,The Silent Wife,star-rating Five,12.34,In stock (1 available),Fiction,b78deb463531d078,Five,5,1,Cluster_1,1
